0		2.42651157690921E-08
328		3.29497092107665E-07
657		1.46129274052797E-12
1061		5.78180867525988E-13
1702		9.5754624E-08
2582		2.68443040563622E-06
2916		5.21656427463271E-07
3609		1.22529198286123E-06
3936		4.54238954252571E-07
4455		1.54234366579302E-07
4785		2.286277178E-05
5114		3.131846759E-05
5443		3.696976361E-05
6137		3.642507512E-06
6652		5.77594238353529E-06
7167		4.90274142823509E-06
7677		4.41557784567697E-06
8345		4.45320976387658E-06
8676		6.614924249E-05
9004		9.8501913E-05
9337		6.607988255E-05
10032		7.004538357E-06
10545		1.04163982654412E-05
11060		9.13732754161415E-06
11576		8.73318967559464E-06
