                    1   0.0000000000000000        1.8156082043312778E-004
                    2  0.50000000000000000        1.7596523245079750E-004
                    3   1.0000000000000000        1.6185781335634588E-004
                    4   1.5000000000000000        1.4364464390028174E-004
                    5   2.0000000000000000        1.2412781306808042E-004
                    6   2.5000000000000000        1.0501838037755285E-004
                    7   3.0000000000000000        8.7295384622385750E-005
                    8   3.5000000000000000        7.1454636408871657E-005
                    9   4.0000000000000000        5.7679689368964326E-005
                   10   4.5000000000000000        4.5958483207258273E-005
                   11   5.0000000000000000        3.6162376517911295E-005
                   12   5.5000000000000000        2.8099273421584344E-005
                   13   6.0000000000000000        2.1548932346606506E-005
                   14   6.5000000000000000        1.6285998802468447E-005
                   15   7.0000000000000000        1.2094547972378043E-005
                   16   7.5000000000000000        8.7767330332358962E-006
                   17   8.0000000000000000        6.1573385413048500E-006
                   18   8.5000000000000000        4.0855071781137054E-006
                   19   9.0000000000000000        2.4345516000961812E-006
                   20   9.5000000000000000        1.1005186819910042E-006
                   21   10.000000000000000                            NaN
