#				
#	OBS.	POINT	1	cm]
#				
#				
#				
#	Time	Obs	Obs	
670	-14.3	-16.9	-17.7	0.0212239124
675	-14.3	-16.8	-17.7	0.0212239122
680	-14.2	-16.8	-17.6	0.0212239122
685	-14.1	-16.7	-17.6	0.0212239124
690	-13.8	-16.7	-17.6	0.0212239122
695	-14	-16.9	-17.8	0.0212239124
700	-14	-16.9	-17.8	0.0212239122
705	-13.9	-16.6	-17.6	0.0212239122
710	-13.2	-16.3	-17.4	0.0212239124
715	-13.9	-16.5	-17.4	0.0212239122
720	-13.9	-16.5	-17.5	0.0212239122
725	-14	-16.5	-17.5	0.0212239124
730	-14	-16.5	-17.5	0.0212239122
735	-13.8	-16.5	-17.5	0.0212239124
740	-13.7	-16.7	-17.6	0.0212239122
745	-13.6	-16.5	-17.7	0.0212239122
750	-13.5	-16.3	-17.5	0.021223912
755	-13.3	-16.2	-17.3	0.021223912
760	-13.6	-16.2	-17.2	0.021223912
765	-13.5	-16.1	-17.3	0.021223914
770	-13.4	-16.2	-17.2	0.021223912
775	-13.5	-16.2	-17.3	0.021223912
780	-13.1	-16.5	-17.4	0.021223912
785	-13.3	-16.5	-17.5	0.021223912
790	-13.4	-16.3	-17.6	0.021223912
795	-13.3	-16.2	-17.4	0.021223912
800	-13.3	-16.1	-17.2	0.021223914
805	-13.3	-16	-17.2	0.021223912
810	-13.2	-16.1	-17.1	0.021223912
815	-13	-15.9	-17.1	0.021223912
820	-12.8	-15.6	-17.1	0.021223912
825	-13.1	-16.1	-17.2	0.021223912
830	-13.1	-16.2	-17.4	0.021223912
835	-13	-16	-17.5	0.021223914
840	-13.1	-16	-17.3	0.021223912
845	-13.1	-15.9	-17.1	0.021223912
850	-12.3	-15.8	-17	0.021223912
855	-12.9	-15.9	-17.1	0.021223912
860	-12.9	-15.9	-17.1	0.021223912
865	-12.9	-15.9	-17.1	0.021223912
870	-12.9	-15.9	-17.1	0.021223912
875	-12.9	-16	-17.2	0.021223914
880	-12.9	-16.2	-17.4	0.021223912
885	-13	-16	-17.4	0.021223912
890	-13	-15.9	-17.1	0.021223912
895	-13	-15.9	-17	0.021223912
900	-12.9	-15.7	-17	0.021223912
905	-12.9	-15.8	-17	0.021223912
910	-12.8	-15.6	-17	0.021223914
915	-12.9	-15.8	-17	0.021223912
920	-12.9	-15.9	-17	0.021223912
925	-12.7	-16.1	-17.2	0.021223912
