# Time (s) Taverage [°C] Precipitation [mm/day]
 18576000 19.4 0   
 18662400 17 0   
 18748800 18.2 0   
 18835200 21.2 0   
 18921600 23.3 0   
 19008000 19.9 0   
 19094400 19.2 0   
 19180800 23.8 0   
 19267200 23.5 3.41   
 19353600 16.4 6.82   
 19440000 14.9 0   
 19526400 18.8 0   
 19612800 21.3 0   
 19699200 21.5 0   
 19785600 21 0   
 19872000 18.1 0   
 19958400 20.1 0   
 20044800 16.2 3.99   
 20131200 13.6 1.17   
 20217600 11.7 0.78   
 20304000 13.8 1.36   
 20390400 11.1 0.58   
 20476800 14 2.24   
 20563200 10.9 1.66   
 20649600 10.3 0.1   
 20736000 11.2 0.1   
 20822400 12.5 0   
 20908800 11.1 0.29   
 20995200 12.9 0   
 21081600 15.4 0   
 21168000 14.6 1.95   
 21254400 15.3 0.88   
 21340800 13.9 18.69   
 21427200 14 6.23   
 21513600 14.5 0   
 21600000 14.4 0   
 21686400 18 0.2   
 21772800 19.3 8.28   
 21859200 14.1 7.21   
 21945600 11.8 15.09   
 22032000 8.1 0.49   
 22118400 7.3 2.43   
 22204800 9.6 6.91   
 22291200 10.5 14.31   
 22377600 9.7 0.39   
 22464000 11 0.58   
 22550400 11.1 0.1   
 22636800 11.3 0   
 22723200 11.2 0   
 22809600 10.9 0   
 22896000 11.6 0   
 22982400 11.5 0   
 23068800 9.4 0   
 23155200 11 0   
 23241600 11.8 0.2   
 23328000 13.1 0   
 23414400 10.9 0   
 23500800 12.1 0   
 23587200 8.5 7.79   
 23673600 5.4 0.78   
 23760000 5.6 0   
 23846400 6.9 1.46   
 23932800 6.9 1.17   
 24019200 6.3 1.85   
 24105600 13 14.12   
 24192000 10.6 1.36   
 24278400 10.7 1.07   
 24364800 9.8 0.78   
 24451200 8.8 1.17   
 24537600 7.4 10.61   
 24624000 6.4 1.07   
 24710400 10 5.65   
 24796800 11.8 0.39   
 24883200 8.9 0   
 24969600 13.3 0.29   
 25056000 7.3 1.07   
 25142400 5.7 0   
 25228800 4.2 0.97   
 25315200 7.7 0   
 25401600 12 0   
 25488000 12.6 1.95   
 25574400 9.1 3.7   
 25660800 8.7 1.95   
 25747200 5.8 1.17   
 25833600 6.5 1.07   
 25920000 10.6 23.76   
 26006400 5.9 5.45   
 26092800 3.7 3.8   
 26179200 3.7 6.82   
 26265600 4.3 10.81   
 26352000 3.3 0.58   
 26438400 5.9 1.46   
 26524800 5.2 0.2   
 26611200 2.3 0   
 26697600 4 0.1   
 26784000 1.7 0   
 26870400 2.9 0.49   
 26956800 6 4.58   
 27043200 8.2 5.94   
 27129600 3.5 1.17   
 27216000 0.4 0   
 27302400 0.8 0   
 27388800 0.5 2.82   
 27475200 1.3 0.78   
 27561600 0.8 3.02   
 27648000 -1.6 1.36   
 27734400 -3 0.97   
 27820800 -4.3 0.58   
 27907200 -3.4 0.78   
 27993600 -8.4 0.1   
 28080000 -8.3 0   
 28166400 -3.3 0   
 28252800 -1.8 0   
 28339200 -2.3 0   
