				
#				
#	OBS.	POINT	head	cm]
#				
#				
#				
#	Time	Obs		
845	-13.1	-15.9	12.09409268	
850	-12.3	-15.8	12.20021224	
855	-12.9	-15.9	12.3063318	
860	-12.9	-15.9	12.41245136	
865	-12.9	-15.9	12.51857092	
870	-12.9	-15.9	12.62469048	
875	-12.9	-16	12.73081005	
880	-12.9	-16.2	12.83692961	
885	-13	-16	12.94304917	
890	-13	-15.9	13.04916873	
895	-13	-15.9	13.15528829	
900	-12.9	-15.7	13.26140785	
905	-12.9	-15.8	13.36752741	
910	-12.8	-15.6	13.47364698	
915	-12.9	-15.8	13.57976654	
920	-12.9	-15.9	13.6858861	
925	-12.7	-16.1	13.79200566	
930	-12.9	-16	13.89812522	
935	-12.4	-15.7	14.00424478	
940	-12.8	-15.7	14.11036434	
945	-12.7	-15.5	14.21648391	
950	-11.1	-13.7	14.32260347	
955	-12.5	-16.2	14.42872303	
960	-13	-15.8	14.53484259	
965	-12.9	-15.7	14.64096215	
970	-12.3	-14.8	14.74708171	
975	-12.3	-15.9	14.85320127	
980	-12.6	-15.8	14.95932083	
985	-12.9	-15.7	15.0654404	
990	-12	-15.6	15.17155996	
995	-12.7	-15.5	15.27767952	
1000	-12.2	-15.7	15.38379908	
1010	-12.7	-14.8	15.48991864	
1010	-12.7	-15.7	15.5960382	
1020	-12.5	-15.7	15.70215776	
1020	-12.5	-15.8	15.80827733	
1030	-12.4	-15.6	15.91439689	
1030	-12.5	-15.5	16.02051645	
1040	-12.5	-15.5	16.12663601	
1040	-12.4	-15.5	16.23275557	
1050	-12.4	-15.4	16.33887513	
1050	-12.4	-15.4	16.44499469	
1060	-12.4	-15.4	16.55111426	
1060	-12.4	-15.5	16.65723382	
1070	-11.6	-15.6	16.76335338	
1070	-12.3	-15.5	16.86947294	
1080	-12.4	-15.5	16.9755925	
1080	-12.4	-15.4	17.08171206	
1090	-12.2	-15.3	17.18783162	
1090	-12.2	-15.3	17.29395119	
1100	-12.4	-15.3	17.40007075	
1100	-12.5	-15.6	17.50619031	
1110	-12.5	-15.6	17.61230987	
1110	-12.4	-15.7	17.71842943	
1120	-12.4	-15.8	17.82454899	
1120	-12.4	-16	17.93066855	
1130	-12.4	-15.6	18.03678811	
1130	-12.4	-15.5	18.14290768	
1140	-12.5	-15.5	18.24902724	
1140	-12.4	-15.5	18.3551468	
1150	-12.4	-15.5	18.46126636	
1150	-12.4	-15.5	18.56738592	
1160	-12.4	-15.5	18.67350548	
1160	-12.4	-15.7	18.77962504	
1170	-12.4	-16	18.88574461	
1170	-11.9	-15.9	18.99186417	
1180	-12.6	-15.9	19.09798373	
1180	-12.5	-15.7	19.20410329	
1190	-12.4	-15.5	19.31022285	
1190	-12.3	-15.5	19.41634241	
1200	-11.3	-15.4	19.52246197	
1200	-12.3	-15.2	19.62858154	
1210	-12.4	-15.5	19.7347011	
1210	-12.6	-15.5	19.84082066	
1220	-12.7	-15.9	19.94694022	
1220	-12.6	-16	20.05305978	
1230	-12.4	-15.7	20.15917934	
1230	-12.2	-15.3	20.2652989	
1240	-12.2	-15.2	20.37141846	
1240	-12.2	-15.2	20.47753803	
1250	-12.1	-15.2	20.58365759	
1250	-12.1	-15.2	20.68977715	
1260	-12	-15.2	20.79589671	
1260	-11.9	-15.2	20.90201627	
1270	-12	-15	21.00813583	
1270	-12.3	-15.6	21.11425539	
1280	-12	-15.2	21.22037496	
1280	-11.9	-15.1	21.32649452	
1290	-11.9	-15	21.43261408	
1290	-11.1	-15	21.53873364	
1300	-11.8	-15	21.6448532	
1300	-11.9	-15.3	21.75097276	
1310	-11.9	-14.8	21.85709232	
1310	-11.9	-14.8	21.96321189	
1320	-11.9	-15	22.06933145	
1320	-11.9	-15.2	22.17545101	
1330	-11.9	-15	22.28157057	
1330	-12	-15	22.38769013	
1340	-12.4	-15	22.49380969	
1340	-12.5	-15.5	22.59992925	
1350	-12.5	-15.4	22.70604881	
1350	-12.4	-15.5	22.81216838	
1360	-12.3	-15.5	22.91828794	
1360	-12.2	-15.4	23.0244075	
1370	-12.1	-15.4	23.13052706	
1370	-12.1	-15.7	23.23664662	
1380	-12.1	-15.3	23.34276618	
1380	-12.1	-15.2	23.44888574	
1390	-12	-15	23.55500531	
1390	-11.9	-15.2	23.66112487	
1400	-11.9	-14.9	23.76724443	
1400	-11.9	-15.2	23.87336399	
1410	-11.8	-15.2	23.97948355	
1410	-11.8	-15	24.08560311	
1420	-11.8	-15.2	24.19172267	
1420	-11.8	-15.6	24.29784224	
1430	-11.8	-15.6	24.4039618	
1430	-11.8	-15.4	24.51008136	
1440	-11.7	-14.8	24.61620092	
1440	-12.8	-16.2	24.72232048	
1450	-12.7	-16.3	24.82844004	
1450	-12.7	-16	24.9345596	
1460	-12.6	-15.7	25.04067917	
1460	-11.7	-16.1	25.14679873	
1470	-12.7	-16	25.25291829	
1470	-12.9	-16.3	25.35903785	
1480	-12.7	-16.6	25.46515741	
1480	-12.7	-16.2	25.57127697	
1490	-12.2	-16.1	25.67739653	
1490	-12.6	-15.4	25.78351609	
1500	-12.6	-16.1	25.88963566	
1500	-12.5	-16	25.99575522	
1510	-12.4	-16.3	26.10187478	
1510	-12.3	-15.7	26.20799434	
1520	-12.4	-15.8	26.3141139	
1520	-11.8	-16	26.42023346	
1530	-12.7	-16.3	26.52635302	
1530	-12.6	-15.8	26.63247259	
1540	-12.6	-15.8	26.73859215	
1540	-12.4	-15.5	26.84471171	
1550	-12.3	-15.5	26.95083127	
1550	-12.3	-15.6	27.05695083	
1560	-12.3	-15.7	27.16307039	
1560	-11.9	-15.8	27.26918995	
1570	-12.2	-15.7	27.37530952	
1570	-12.3	-16	27.48142908	
1580	-12.2	-16.1	27.58754864	
1580	-12	-15.7	27.6936682	
1590	-12.1	-15.5	27.79978776	
1590	-12.2	-15.6	27.90590732	
1600	-12.2	-15.6	28.01202688	
1600	-12.1	-15.6	28.11814644	
1610	-12.2	-15.5	28.22426601	
1610	-12	-15.7	28.33038557	
1620	-12	-15.8	28.43650513	
1620	-12	-15.9	28.54262469	
1630	-12	-15.4	28.64874425	
1630	-12	-15.4	28.75486381	
1640	-10.7	-15.5	28.86098337	
1640	-11.7	-14.5	28.96710294	
1650	-12.1	-15.2	29.0732225	
1650	-12.1	-15.5	29.17934206	
1660	-12.1	-15.4	29.28546162	
1660	-12.1	-15.5	29.39158118	
1670	-12.1	-15.6	29.49770074	
1670	-12.1	-15.7	29.6038203	
1680	-12.1	-15.4	29.70993987	
1680	-12.1	-15.2	29.81605943	
1690	-12	-15.3	29.92217899	
1690	-12	-15	30.02829855	
1700	-12	-15.4	30.13441811	
1700	-11.8	-15.3	30.24053767	
1710	-11.9	-15.4	30.34665723	
